Ward,State,District,Subdistt,Town/Village,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
0,27,531,4302,802895,0,TOWN,Sangli Miraj Kupwad (M Corp.),Urban,110062,502793,253640,249153,53798,28304,25494,73032,36140,36892,3496,1788,1708,385728,202852,182876,117065,50788,66277,173225,132574,40651,158958,124356,34602,5241,4446,795,8063,4887,3176,7141,4557,2584,138513,110466,28047,14267,8218,6049,421,219,202,1018,541,477,1251,466,785,11577,6992,4585,11224,6368,4856,378,195,183,816,442,374,871,305,566,9159,5426,3733,3043,1850,1193,43,24,19,202,99,103,380,161,219,2418,1566,852,329568,121066,208502
1,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0001,Urban,2050,9237,4647,4590,1224,657,567,1983,994,989,32,19,13,5858,3191,2667,3379,1456,1923,3563,2532,1031,3204,2323,881,18,13,5,315,162,153,166,94,72,2705,2054,651,359,209,150,6,2,4,36,18,18,14,4,10,303,185,118,211,121,90,6,2,4,23,11,12,8,3,5,174,105,69,148,88,60,0,0,0,13,7,6,6,1,5,129,80,49,5674,2115,3559
2,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0002,Urban,1818,8154,4195,3959,893,446,447,906,470,436,36,21,15,6208,3358,2850,1946,837,1109,2689,2072,617,2534,1989,545,54,50,4,106,60,46,116,74,42,2258,1805,453,155,83,72,5,3,2,24,10,14,16,6,10,110,64,46,120,67,53,5,3,2,18,9,9,11,6,5,86,49,37,35,16,19,0,0,0,6,1,5,5,0,5,24,15,9,5465,2123,3342
3,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0003,Urban,1372,5786,3023,2763,693,362,331,1458,705,753,28,13,15,3809,2126,1683,1977,897,1080,2470,1729,741,2384,1681,703,19,16,3,943,498,445,23,15,8,1399,1152,247,86,48,38,7,5,2,29,15,14,4,0,4,46,28,18,77,42,35,5,3,2,28,15,13,4,0,4,40,24,16,9,6,3,2,2,0,1,0,1,0,0,0,6,4,2,3316,1294,2022
4,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0004,Urban,2182,10207,5239,4968,1309,692,617,1656,861,795,45,22,23,7400,3983,3417,2807,1256,1551,3443,2732,711,3281,2647,634,111,100,11,385,230,155,149,98,51,2636,2219,417,162,85,77,9,1,8,28,17,11,16,5,11,109,62,47,133,72,61,9,1,8,25,16,9,12,4,8,87,51,36,29,13,16,0,0,0,3,1,2,4,1,3,22,11,11,6764,2507,4257
5,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0005,Urban,1451,6538,3322,3216,779,405,374,607,290,317,26,16,10,5114,2701,2413,1424,621,803,2294,1788,506,2069,1682,387,116,101,15,125,94,31,82,61,21,1746,1426,320,225,106,119,16,7,9,17,12,5,23,3,20,169,84,85,205,97,108,15,6,9,14,10,4,17,2,15,159,79,80,20,9,11,1,1,0,3,2,1,6,1,5,10,5,5,4244,1534,2710
6,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0006,Urban,1511,6571,3348,3223,880,430,450,1720,882,838,18,11,7,4609,2533,2076,1962,815,1147,2332,1814,518,2190,1752,438,47,45,2,107,76,31,128,93,35,1908,1538,370,142,62,80,2,0,2,15,8,7,30,6,24,95,48,47,102,48,54,1,0,1,13,7,6,11,1,10,77,40,37,40,14,26,1,0,1,2,1,1,19,5,14,18,8,10,4239,1534,2705
7,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0007,Urban,2055,9373,4752,4621,1158,611,547,1887,926,961,26,8,18,6732,3610,3122,2641,1142,1499,3521,2612,909,3337,2519,818,182,144,38,191,107,84,89,64,25,2875,2204,671,184,93,91,6,3,3,17,9,8,8,1,7,153,80,73,155,73,82,6,3,3,16,8,8,6,1,5,127,61,66,29,20,9,0,0,0,1,1,0,2,0,2,26,19,7,5852,2140,3712
8,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0008,Urban,1323,6042,3068,2974,748,398,350,1559,788,771,15,4,11,4481,2398,2083,1561,670,891,2071,1547,524,1864,1423,441,73,69,4,184,137,47,96,67,29,1511,1150,361,207,124,83,2,0,2,47,29,18,11,4,7,147,91,56,187,109,78,2,0,2,45,29,16,10,3,7,130,77,53,20,15,5,0,0,0,2,0,2,1,1,0,17,14,3,3971,1521,2450
9,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0009,Urban,1969,8906,4543,4363,1102,592,510,1203,626,577,85,52,33,6759,3597,3162,2147,946,1201,3108,2348,760,2916,2233,683,37,33,4,42,35,7,105,66,39,2732,2099,633,192,115,77,2,1,1,11,4,7,14,6,8,165,104,61,171,102,69,2,1,1,10,4,6,11,6,5,148,91,57,21,13,8,0,0,0,1,0,1,3,0,3,17,13,4,5798,2195,3603
